scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s08,jink_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,6.6972,0.0420,0.7745,0.8712,2.6340,2.5814,4.5492,0.1300,1.3236,188,0,2000,logs/auto_20260817_134130/runs/s08_IMM-EKF.csv
s08,jink_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,9.2891,0.0420,1.3970,0.9059,2.2545,2.1306,4.5799,0.1167,1.0916,188,0,2000,logs/auto_20260817_134130/runs/s08_IMM-UKF.csv
s08,jink_10hz_nojitter,EKF-LOS,EKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,340.9457,0.0420,11.7636,6.3038,3.9798,3.4974,10.1379,0.0228,4.8871,188,0,2000,logs/auto_20260817_134130/runs/s08_EKF-LOS.csv
s08,jink_10hz_nojitter,UKF-LOS,UKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,14.9001,0.0420,2.5570,1.0296,11.0296,10.7672,17.6318,0.0228,6.8678,188,0,2000,logs/auto_20260817_134130/runs/s08_UKF-LOS.csv
s08,jink_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,97.7410,0.0420,7.6267,8.0916,4.0215,3.7626,8.7163,0.0228,4.3590,188,0,2000,logs/auto_20260817_134130/runs/s08_IMM-EKF-LOS.csv
s08,jink_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,13.8999,0.0420,2.3763,0.9541,0.9111,0.7055,4.0632,0.0228,0.9030,188,0,2000,logs/auto_20260817_134130/runs/s08_IMM-UKF-LOS.csv
s09,far_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.0818,1.5490,0.2854,0.2397,0.0000,0.0000,0.0000,0.0000,0.0000,192,0,2000,logs/auto_20260817_134130/runs/s09_CV-pixel.csv
s09,far_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.0070,1.5490,0.6354,0.7038,1.9710,1.2750,9.7536,0.0340,1.7943,192,0,2000,logs/auto_20260817_134130/runs/s09_EKF.csv
s09,far_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,8.2061,1.5490,1.4437,0.9933,2.2995,1.8780,5.8053,0.0455,1.8580,192,0,2000,logs/auto_20260817_134130/runs/s09_UKF.csv
s09,far_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.1152,1.5490,0.6339,0.7283,1.6126,0.9565,8.2009,0.0292,1.1696,192,0,2000,logs/auto_20260817_134130/runs/s09_IMM-EKF.csv
s09,far_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,7.8939,1.5490,1.3094,0.9932,1.0918,0.7696,3.5112,0.0341,1.1771,192,0,2000,logs/auto_20260817_134130/runs/s09_IMM-UKF.csv
s09,far_smooth,EKF-LOS,EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.2322,1.5490,0.7228,0.7161,4.4995,3.4581,13.5502,0.0339,3.5918,192,0,2000,logs/auto_20260817_134130/runs/s09_EKF-LOS.csv
s09,far_smooth,UKF-LOS,UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,16.9383,1.5490,3.4083,2.0252,19.9468,18.0341,36.3724,0.0339,7.5324,192,0,2000,logs/auto_20260817_134130/runs/s09_UKF-LOS.csv
s09,far_smooth,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.1356,1.5490,0.7379,0.8870,2.9336,2.0502,9.3476,0.0339,2.6268,192,0,2000,logs/auto_20260817_134130/runs/s09_IMM-EKF-LOS.csv
s09,far_smooth,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,93.3818,1.5490,4.3612,9.1307,8.3155,7.3732,17.8290,0.0339,4.2975,192,0,2000,logs/auto_20260817_134130/runs/s09_IMM-UKF-LOS.csv
s10,close_jink,CV-pixel,CV,px,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,2.2536,1.7106,0.2898,0.2709,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_134130/runs/s10_CV-pixel.csv
s10,close_jink,EKF,EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,6.1857,1.7106,0.8908,0.6471,1.0122,0.8652,2.6685,0.0491,1.2303,189,0,2000,logs/auto_20260817_134130/runs/s10_EKF.csv
s10,close_jink,UKF,UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,8.9456,1.7106,1.5159,0.6033,0.9233,0.6795,2.7927,0.0274,1.1131,189,0,2000,logs/auto_20260817_134130/runs/s10_UKF.csv
s10,close_jink,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,7.0334,1.7106,0.9825,0.7701,1.8003,1.6891,3.5914,0.0930,0.7942,189,0,2000,logs/auto_20260817_134130/runs/s10_IMM-EKF.csv
s10,close_jink,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,9.4835,1.7106,1.4491,0.8983,2.0525,1.9424,3.6005,0.1130,0.8273,189,0,2000,logs/auto_20260817_134130/runs/s10_IMM-UKF.csv
s10,close_jink,EKF-LOS,EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,15.3987,1.7106,2.6583,0.7725,7.8629,5.0134,25.8699,0.0229,4.8832,189,0,2000,logs/auto_20260817_134130/runs/s10_EKF-LOS.csv
s10,close_jink,UKF-LOS,UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,41.5686,1.7106,6.5408,0.9832,17.1220,14.7663,42.9814,0.0229,9.4758,189,3,2000,logs/auto_20260817_134130/runs/s10_UKF-LOS.csv
s10,close_jink,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,9.2055,1.7106,1.1061,1.1672,3.5899,3.3282,8.9834,0.0229,1.2875,189,0,2000,logs/auto_20260817_134130/runs/s10_IMM-EKF-LOS.csv
s10,close_jink,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,13.1275,1.7106,2.2899,0.7411,4.5129,2.6209,14.7400,0.0229,2.4074,189,0,2000,logs/auto_20260817_134130/runs/s10_IMM-UKF-LOS.csv
s11,seed2_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.2220,1.6757,0.2909,0.2634,0.0000,0.0000,0.0000,0.0000,0.0000,191,0,2000,logs/auto_20260817_134130/runs/s11_CV-pixel.csv
s11,seed2_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.5860,1.6757,0.7874,0.6222,1.6821,1.4853,4.6820,0.0680,1.4507,191,0,2000,logs/auto_20260817_134130/runs/s11_EKF.csv
s11,seed2_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.2109,1.6757,0.9663,0.5905,2.1485,2.0040,4.7555,0.0775,1.3080,191,0,2000,logs/auto_20260817_134130/runs/s11_UKF.csv
s11,seed2_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.6111,1.6757,0.7982,0.6183,1.2519,1.0786,3.3728,0.0502,1.0167,191,0,2000,logs/auto_20260817_134130/runs/s11_IMM-EKF.csv
s11,seed2_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.8289,1.6757,0.8496,0.6170,0.8851,0.7132,2.4975,0.0279,0.7039,191,0,2000,logs/auto_20260817_134130/runs/s11_IMM-UKF.csv
