scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_att,los_att,d_att,bbox_range,los_range,d_range,bbox_size,los_size
s11,seed2_smooth,UKF,smooth,10.00,0.050,1,6.2109,40.2939,34.0831,0.9663,6.2904,5.3241,0.5905,1.4397,0.8492,2.1485,35.7903,33.6418,0.0775,0.0316
s11,seed2_smooth,IMM-EKF,smooth,10.00,0.050,1,5.6111,121.7159,116.1048,0.7982,3.9350,3.1368,0.6183,9.3252,8.7068,1.2519,8.2308,6.9789,0.0502,0.0316
s11,seed2_smooth,IMM-UKF,smooth,10.00,0.050,1,5.8289,7.6706,1.8417,0.8496,1.1980,0.3484,0.6170,0.7186,0.1016,0.8851,12.3161,11.4310,0.0279,0.0316
s12,hi_jitter_jink,EKF,jink,10.00,0.050,1,7.4039,8.3437,0.9399,1.0247,1.2694,0.2447,0.8167,0.8026,-0.0141,2.1437,9.5426,7.3990,0.0675,0.0228
s12,hi_jitter_jink,UKF,jink,10.00,0.050,1,9.7103,14.5608,4.8506,1.5145,2.4317,0.9172,0.8900,1.1343,0.2443,2.0972,12.3093,10.2121,0.0488,0.0228
s12,hi_jitter_jink,IMM-EKF,jink,10.00,0.050,1,7.7724,8.9754,1.2030,1.1050,1.1991,0.0940,0.8296,1.0414,0.2119,1.2334,1.7048,0.4713,0.0620,0.0228
s12,hi_jitter_jink,IMM-UKF,jink,10.00,0.050,1,10.4680,14.6216,4.1536,1.6080,2.4872,0.8792,0.9929,1.0193,0.0264,2.1680,1.2606,-0.9073,0.1113,0.0228
s13,stable_timing,EKF,smooth,10.00,0.050,1,4.5320,129.3198,124.7878,0.4926,16.1890,15.6963,0.6518,8.9611,8.3093,1.6109,33.2651,31.6542,0.0528,0.0344
s13,stable_timing,UKF,smooth,10.00,0.050,1,5.8223,12.2676,6.4454,0.8518,2.3434,1.4916,0.7969,1.5626,0.7656,1.4692,24.9123,23.4431,0.0373,0.0344
s13,stable_timing,IMM-EKF,smooth,10.00,0.050,1,4.9044,4.7503,-0.1541,0.5152,0.7538,0.2387,0.7232,0.6264,-0.0968,0.9777,6.1574,5.1797,0.0326,0.0344
s13,stable_timing,IMM-UKF,smooth,10.00,0.050,1,5.9848,13.1512,7.1663,0.8744,3.1332,2.2588,0.8179,1.3685,0.5506,0.8612,8.8133,7.9521,0.0361,0.0344
s14,heavy_period,EKF,smooth,10.00,0.050,1,5.1623,230.7220,225.5598,0.5483,23.5889,23.0406,0.7587,8.9413,8.1826,1.0492,23.1298,22.0805,0.0384,0.0344
s14,heavy_period,UKF,smooth,10.00,0.050,1,6.4750,10.9806,4.5057,0.9411,1.6714,0.7302,0.8860,1.5373,0.6513,1.3845,26.8292,25.4447,0.0386,0.0344
s14,heavy_period,IMM-EKF,smooth,10.00,0.050,1,5.0328,8.1847,3.1520,0.5226,0.7039,0.1813,0.7470,1.2682,0.5212,0.8798,5.6824,4.8026,0.0345,0.0344
