scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s06,jink_4hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,4.00,0.050,1,67.8105,1.6827,11.5192,3.4453,76.2832,65.1274,189.1261,0.0228,45.6182,80,0,2000,logs/auto_20260817_030358/runs/s06_IMM-UKF-LOS.csv
s07,smooth_10hz_nojitter,CV-pixel,CV,px,smooth,10.00,0.050,0,0.0469,0.0426,0.0108,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s07_CV-pixel.csv
s07,smooth_10hz_nojitter,EKF,EKF,bbox,smooth,10.00,0.050,0,3.8231,0.0426,0.3742,0.5962,0.7519,0.6100,2.0431,0.0386,0.8147,200,0,2000,logs/auto_20260817_030358/runs/s07_EKF.csv
s07,smooth_10hz_nojitter,UKF,UKF,bbox,smooth,10.00,0.050,0,4.5876,0.0426,0.6999,0.6403,1.0966,0.9467,3.4349,0.0379,1.0563,200,0,2000,logs/auto_20260817_030358/runs/s07_UKF.csv
s07,smooth_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,0,4.0953,0.0426,0.4227,0.6329,0.6689,0.5379,2.3711,0.0321,0.6829,200,0,2000,logs/auto_20260817_030358/runs/s07_IMM-EKF.csv
s07,smooth_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,0,5.2675,0.0426,0.8663,0.7269,0.6763,0.5020,2.6463,0.0341,0.7603,200,0,2000,logs/auto_20260817_030358/runs/s07_IMM-UKF.csv
s07,smooth_10hz_nojitter,EKF-LOS,EKF,los,smooth,10.00,0.050,0,2351.6542,0.0426,33.8509,10.3837,24.9067,14.2043,80.5943,0.0344,13.0337,200,10,2000,logs/auto_20260817_030358/runs/s07_EKF-LOS.csv
s07,smooth_10hz_nojitter,UKF-LOS,UKF,los,smooth,10.00,0.050,0,23.2671,0.0426,2.6384,3.2738,27.5364,24.6552,54.8964,0.0344,9.9635,200,4,2000,logs/auto_20260817_030358/runs/s07_UKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,0,4.2152,0.0426,0.4676,0.6416,3.4943,2.4986,10.0433,0.0344,1.8254,200,0,2000,logs/auto_20260817_030358/runs/s07_IMM-EKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,0,8.1807,0.0426,1.8038,0.9389,13.6117,11.0454,31.6429,0.0344,6.5225,200,0,2000,logs/auto_20260817_030358/runs/s07_IMM-UKF-LOS.csv
s08,jink_10hz_nojitter,CV-pixel,CV,px,jink,10.00,0.050,0,0.0445,0.0385,0.0078,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s08_CV-pixel.csv
s08,jink_10hz_nojitter,EKF,EKF,bbox,jink,10.00,0.050,0,4.8026,0.0385,0.4902,0.6684,2.8262,2.7554,4.8600,0.1414,1.5836,200,0,2000,logs/auto_20260817_030358/runs/s08_EKF.csv
s08,jink_10hz_nojitter,UKF,UKF,bbox,jink,10.00,0.050,0,6.0005,0.0385,0.9466,0.5258,1.0035,0.8591,2.6237,0.0573,1.4365,200,0,2000,logs/auto_20260817_030358/runs/s08_UKF.csv
s08,jink_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,0,5.7455,0.0385,0.6376,0.7672,2.9048,2.8517,5.0255,0.1431,1.4578,200,0,2000,logs/auto_20260817_030358/runs/s08_IMM-EKF.csv
s08,jink_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,0,7.1688,0.0385,1.0260,0.7619,2.5942,2.4959,5.1178,0.1310,1.2960,200,0,2000,logs/auto_20260817_030358/runs/s08_IMM-UKF.csv
s08,jink_10hz_nojitter,EKF-LOS,EKF,los,jink,10.00,0.050,0,368.1916,0.0385,19.7534,6.2334,6.8861,5.1438,25.6608,0.0228,7.9824,200,0,2000,logs/auto_20260817_030358/runs/s08_EKF-LOS.csv
s08,jink_10hz_nojitter,UKF-LOS,UKF,los,jink,10.00,0.050,0,10.6927,0.0385,1.7772,0.8608,11.3996,11.1682,18.5939,0.0228,7.0927,200,0,2000,logs/auto_20260817_030358/runs/s08_UKF-LOS.csv
s08,jink_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,0,110.2524,0.0385,4.8266,9.1247,3.8958,3.7325,7.0107,0.0228,3.8448,200,0,2000,logs/auto_20260817_030358/runs/s08_IMM-EKF-LOS.csv
s08,jink_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,0,10.2107,0.0385,1.7548,0.7128,1.1029,0.8496,2.6346,0.0228,0.9410,200,0,2000,logs/auto_20260817_030358/runs/s08_IMM-UKF-LOS.csv
s09,far_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,2.0696,1.5758,0.2785,0.2463,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s09_CV-pixel.csv
s09,far_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,4.2659,1.5758,0.5032,0.5994,2.0185,1.4630,6.9712,0.0498,1.3837,200,0,2000,logs/auto_20260817_030358/runs/s09_EKF.csv
s09,far_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,5.3761,1.5758,0.8205,0.6909,2.0965,1.6885,6.0864,0.0513,1.4782,200,0,2000,logs/auto_20260817_030358/runs/s09_UKF.csv
s09,far_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,4.2028,1.5758,0.5098,0.5928,1.6753,0.9584,6.7343,0.0347,0.9029,200,0,2000,logs/auto_20260817_030358/runs/s09_IMM-EKF.csv
s09,far_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,5.4985,1.5758,0.7169,0.7615,1.1579,0.9133,3.5453,0.0514,0.9961,200,0,2000,logs/auto_20260817_030358/runs/s09_IMM-UKF.csv
s09,far_smooth,EKF-LOS,EKF,los,smooth,10.00,0.050,1,71.6094,1.5758,10.1652,6.9597,24.7388,14.7503,86.6406,0.0339,14.2942,200,8,2000,logs/auto_20260817_030358/runs/s09_EKF-LOS.csv
s09,far_smooth,UKF-LOS,UKF,los,smooth,10.00,0.050,1,8.0976,1.5758,1.2634,1.0777,17.5862,16.5183,32.3697,0.0339,7.4235,200,0,2000,logs/auto_20260817_030358/runs/s09_UKF-LOS.csv
s09,far_smooth,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,4.4685,1.5758,0.6352,0.6017,3.8919,2.6158,11.0764,0.0339,3.6300,200,0,2000,logs/auto_20260817_030358/runs/s09_IMM-EKF-LOS.csv
s09,far_smooth,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,9.2548,1.5758,1.8983,1.0541,6.8474,5.8198,14.6986,0.0339,4.3312,200,0,2000,logs/auto_20260817_030358/runs/s09_IMM-UKF-LOS.csv
s10,close_jink,CV-pixel,CV,px,jink,10.00,0.050,1,2.1361,1.6271,0.2747,0.2573,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s10_CV-pixel.csv
s10,close_jink,EKF,EKF,bbox,jink,10.00,0.050,1,5.2045,1.6271,0.7666,0.5242,0.6455,0.5577,1.5230,0.0349,1.0182,200,0,2000,logs/auto_20260817_030358/runs/s10_EKF.csv
s10,close_jink,UKF,UKF,bbox,jink,10.00,0.050,1,6.6054,1.6271,1.0860,0.5100,0.7016,0.5410,1.9391,0.0306,1.0559,200,0,2000,logs/auto_20260817_030358/runs/s10_UKF.csv
s10,close_jink,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,5.7148,1.6271,0.8089,0.6144,1.5457,1.4633,2.6665,0.0814,0.6903,200,0,2000,logs/auto_20260817_030358/runs/s10_IMM-EKF.csv
s10,close_jink,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,7.2688,1.6271,1.0991,0.7035,1.8892,1.8074,3.1525,0.1024,0.7985,200,0,2000,logs/auto_20260817_030358/runs/s10_IMM-UKF.csv
s10,close_jink,EKF-LOS,EKF,los,jink,10.00,0.050,1,210.0394,1.6271,14.7324,1.5387,18.3599,9.4217,57.4831,0.0229,11.5408,200,10,2000,logs/auto_20260817_030358/runs/s10_EKF-LOS.csv
s10,close_jink,UKF-LOS,UKF,los,jink,10.00,0.050,1,50.1736,1.6271,7.4045,1.0005,17.5649,15.3623,46.5766,0.0229,9.9666,200,5,2000,logs/auto_20260817_030358/runs/s10_UKF-LOS.csv
s10,close_jink,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,8.1056,1.6271,1.0598,0.9573,3.7136,3.3431,11.0688,0.0229,1.6942,200,0,2000,logs/auto_20260817_030358/runs/s10_IMM-EKF-LOS.csv
s10,close_jink,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,10.2296,1.6271,1.7655,0.6330,4.0529,2.1662,14.8863,0.0229,2.2981,200,0,2000,logs/auto_20260817_030358/runs/s10_IMM-UKF-LOS.csv
